Dir,Biocrust,File,Sample,Rep,ID
EMIT_IC1_060724_,DCY,115,6,5,
EMIT_IC1_060724_,MOSS,116,6,1,
EMIT_IC1_060724_,MOSS,117,6,2,
EMIT_IC1_060724_,MOSS,118,6,3,
EMIT_IC1_060724_,MOSS,119,6,4,
EMIT_IC1_060724_,MOSS,120,6,5,
EMIT_IC1_060724_,BGR,121,7,1,
EMIT_IC1_060724_,BGR,122,7,2,
EMIT_IC1_060724_,BGR,123,7,3,
EMIT_IC1_060724_,BGR,124,7,4,
EMIT_IC1_060724_,BGR,125,7,5,
EMIT_IC1_060724_,LCY,126,7,1,
EMIT_IC1_060724_,LCY,127,7,2,
EMIT_IC1_060724_,LCY,128,7,3,
EMIT_IC1_060724_,LCY,129,7,4,
EMIT_IC1_060724_,LCY,130,7,5,
EMIT_IC1_060724_,DCY,131,7,1,
EMIT_IC1_060724_,DCY,132,7,2,
EMIT_IC1_060724_,DCY,133,7,3,
EMIT_IC1_060724_,DCY,134,7,4,
EMIT_IC1_060724_,DCY,135,7,5,
EMIT_IC1_060724_,MOSS,136,7,1,
EMIT_IC1_060724_,MOSS,137,7,2,
EMIT_IC1_060724_,MOSS,138,7,3,
EMIT_IC1_060724_,MOSS,139,7,4,
EMIT_IC1_060724_,MOSS,140,7,5,
EMIT_IC1_060724_,BGR,141,8,1,
EMIT_IC1_060724_,BGR,142,8,2,
EMIT_IC1_060724_,BGR,143,8,3,
EMIT_IC1_060724_,BGR,144,8,4,
EMIT_IC1_060724_,BGR,145,8,5,
EMIT_IC1_060724_,LCY,146,8,1,
EMIT_IC1_060724_,LCY,147,8,2,
EMIT_IC1_060724_,LCY,148,8,3,
EMIT_IC1_060724_,LCY,149,8,4,
EMIT_IC1_060724_,LCY,150,8,5,
EMIT_IC1_060724_,DCY,151,8,1,
EMIT_IC1_060724_,DCY,152,8,2,
EMIT_IC1_060724_,DCY,153,8,3,
EMIT_IC1_060724_,DCY,154,8,4,
EMIT_IC1_060724_,DCY,155,8,5,
EMIT_IC1_060724_,MOSS,156,8,1,
EMIT_IC1_060724_,MOSS,157,8,2,
EMIT_IC1_060724_,MOSS,158,8,3,
EMIT_IC1_060724_,MOSS,159,8,4,
EMIT_IC1_060724_,MOSS,160,8,5,
