sample ID,sample,rep,base name,spectrum #,spectrum_id,treatment,functional group,cover type,species,site,notes
HB-5,5,1,EMIT_SPEC,691,EMIT_SPEC00691,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,2,EMIT_SPEC,692,EMIT_SPEC00692,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,3,EMIT_SPEC,693,EMIT_SPEC00693,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,4,EMIT_SPEC,694,EMIT_SPEC00694,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,5,EMIT_SPEC,695,EMIT_SPEC00695,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,1,EMIT_SPEC,696,EMIT_SPEC00696,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,2,EMIT_SPEC,697,EMIT_SPEC00697,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,3,EMIT_SPEC,698,EMIT_SPEC00698,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,4,EMIT_SPEC,699,EMIT_SPEC00699,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-5,5,5,EMIT_SPEC,700,EMIT_SPEC00700,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-6,6,1,EMIT_SPEC,701,EMIT_SPEC00701,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,2,EMIT_SPEC,702,EMIT_SPEC00702,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,3,EMIT_SPEC,703,EMIT_SPEC00703,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,4,EMIT_SPEC,704,EMIT_SPEC00704,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,5,EMIT_SPEC,705,EMIT_SPEC00705,dry,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,1,EMIT_SPEC,706,EMIT_SPEC00706,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,2,EMIT_SPEC,707,EMIT_SPEC00707,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,3,EMIT_SPEC,708,EMIT_SPEC00708,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,4,EMIT_SPEC,709,EMIT_SPEC00709,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-6,6,5,EMIT_SPEC,710,EMIT_SPEC00710,wet,moss,M,Syntrichia caninervis,HorseThief,
HB-7,7,1,EMIT_SPEC,711,EMIT_SPEC00711,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-7,7,2,EMIT_SPEC,712,EMIT_SPEC00712,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-7,7,3,EMIT_SPEC,713,EMIT_SPEC00713,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-7,7,4,EMIT_SPEC,714,EMIT_SPEC00714,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-7,7,5,EMIT_SPEC,715,EMIT_SPEC00715,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
