"wavelength","1","2","3","4","5","6","7","8"
350,-0.0271478307109273,-0.0218577658132923,-0.0201119341020198,-0.0137812865291431,-0.0321980834348553,-0.0190502145943445,-0.0242982511425039,-0.0217291926406301
351,-0.0220201768183176,-0.017629385732096,-0.014580551513537,-0.00858817258610693,-0.0262120274587956,-0.0127893787726403,-0.0183322862709102,-0.0173293813632414
352,-0.0206125162902088,-0.0168341456945142,-0.0124773352129817,-0.00610698576081713,-0.023191124816421,-0.00994007323295264,-0.0158425683279553,-0.0149054363186673
353,-0.019533644483908,-0.0145126475147645,-0.0127536872729449,-0.0044470939522794,-0.0215276757162642,-0.00902302778363113,-0.0144173051422963,-0.0125913566755994
354,-0.0168230678552538,-0.0114107874773579,-0.0106138716578507,-0.00320229511206893,-0.0181124484364015,-0.00798545036630138,-0.0107928858234252,-0.0097330065239576
355,-0.0130673637160659,-0.00899825005752945,-0.00759505659989213,-0.00132770097293873,-0.0155429130793703,-0.0056845141784999,-0.00787524236396182,-0.00826672854082789
356,-0.0102646693204589,-0.00777888460946613,-0.00546785117933813,0.00135445615998213,-0.0149697608242337,-0.00265144895067567,-0.00725762239646513,-0.00816130749510474
357,-0.0121254640799572,-0.0063128966233007,-0.00480405675774133,0.00368418200067058,-0.0137093728416437,-0.0017532645307526,-0.00685043893323716,-0.00533564220327565
358,-0.0127687275513882,-0.00692613163120134,-0.00481436930162317,0.00305067232642863,-0.0147432314651957,-0.00139209080862417,-0.0078413817176855,-0.00566754871884468
359,-0.0113531589635666,-0.00673421021007041,-0.0038116145068107,0.00366359356772915,-0.014005473755125,-0.000118513719262244,-0.00697487999852328,-0.00518975511359916
360,-0.00884747813901811,-0.00330115292277961,-0.000970388778226959,0.00858191043199364,-0.00877890694804526,0.00271469520328088,-0.0022788087086428,-0.000145545793669183
361,-0.00642314253377459,-0.00098676471439758,0.000902707494664567,0.0095435935061086,-0.00819110006656055,0.0055790887658455,-0.000232073884115184,0.00238393744055996
362,-0.00547141366162945,-0.00095505679294649,0.00158118920806849,0.0094623636089808,-0.00879105667837543,0.00524497807712929,-0.000596826066557707,0.00187546366656128
363,-0.00617089818326103,-0.00197187702610814,0.00138312799440176,0.00910931203083209,-0.00905810001715668,0.00322722350605718,-0.00191918748380416,0.0001322618442309
364,-0.00733148023595684,-0.00144954222888928,0.00127861285950761,0.00830461865808024,-0.00867026008842412,0.00380627442369243,-0.00194564300010121,0.000304274437922997
365,-0.00280809085318946,0.00128369235558118,0.00513315892604819,0.0123522437619456,-0.00484399301939303,0.00750180307154624,0.00215748496113851,0.00434125464360773
366,-0.00120173263897285,0.00112899900665357,0.00617856087265272,0.0138555943810107,-0.00317391390215706,0.00855686162420588,0.00349788615761912,0.00552620167143653
367,-0.00383393047704635,-0.00125189240776452,0.00384630925894134,0.0118849829441008,-0.00430918034071048,0.00693880773396877,0.0013585570246327,0.00365295980114092
368,-0.000369062066950723,0.00313419981653506,0.00724560435606061,0.0158519347998877,-0.0012104476638248,0.011048258139267,0.00456409658579724,0.00838991519745177
369,-0.00121153663164326,0.00310098279234258,0.00677371588588954,0.0153195535450179,-0.00388655313626004,0.00984299674239298,0.00317141403812008,0.00726388024438549
370,-0.00259468155652114,0.00228862697217124,0.0063710014818376,0.014380403295419,-0.00528212004694479,0.00933375625502112,0.00187966466628392,0.00530373124936634
371,-0.000411809195999683,0.00461059178244797,0.00964708581231024,0.0170918089190941,-9.31904094092032e-05,0.0143161622148531,0.00507391154419627,0.00783188912067077
372,9.6791438826461e-05,0.00369146884621025,0.00949376115767295,0.0168304433800199,-0.000326126216141146,0.0138117427319476,0.00582960343019739,0.00835003866439029
373,-0.000185434829271021,0.00367132498968119,0.00924694476137444,0.0164435908173525,-0.0017468820722385,0.0124807641214529,0.00565573924292406,0.00760730320819197
374,0.000192774471491946,0.00539983016510233,0.0101297459419705,0.0176084216862668,-0.00155815447469064,0.0130527935318585,0.0061008470292576,0.008103746827152
375,0.00240794829844073,0.00767261443205779,0.0121107556436847,0.0206037692866942,0.00135787674572671,0.0162497131255732,0.00816347659126147,0.0120183052312328
376,0.0039572964159079,0.00794518371115362,0.0147250757106201,0.0210870104974834,0.00206832986335702,0.0168475775370529,0.0090820334411669,0.0136335055718018
377,0.00434876706729297,0.00720948413982141,0.0154053063299734,0.020917240663341,0.00262776481336792,0.0169979261395944,0.00960628296137214,0.0140268230786632
378,0.00378786494309401,0.00673536413713362,0.014136408671802,0.0212756591119859,0.00361776001772476,0.0176093920285678,0.00975347027932196,0.0140249988775767
379,0.00303185463929395,0.00762220359256908,0.0137218748572459,0.0219998038294229,0.0034850554477814,0.01761061564445,0.00857320315545,0.0135474667994565
380,0.00392759883317517,0.00863670731881061,0.0154888491574901,0.0226637954833285,0.00407040288415817,0.0182877638346616,0.0107185842839193,0.0137360952852508
381,0.00592827917058269,0.0100504664063089,0.0178021377423964,0.0242924971404415,0.00553619067483185,0.0201227822905778,0.0130881431906368,0.0155808270750608
382,0.0076029539864005,0.0114211436313694,0.0188772193186705,0.0265844590779708,0.00710828257670742,0.0222574422041489,0.0130627300514205,0.0184123438531691
383,0.00639972086778356,0.00958186912063479,0.0176517502181726,0.0250480727360206,0.00638822595848557,0.0208475352726209,0.0126121498921418,0.0177794840465572
384,0.00727435970788184,0.00980768935300319,0.0183461282714814,0.0257237153057748,0.00709359934262348,0.0211824664570311,0.0134375810375582,0.0182930169387521
385,0.00945044498703734,0.0122186294573315,0.0208596197548345,0.0283032841185672,0.00884984535978268,0.0235615512484895,0.015501878460845,0.0204910660904101
386,0.0102782862510819,0.0145374193913186,0.0231165303522497,0.0300877215974224,0.00984747251130214,0.0259603687485129,0.0176098788357562,0.0228683173443623
387,0.0102273901893398,0.0138425022912194,0.0227141978333071,0.0300556972311788,0.00984185854584978,0.0257050988930627,0.0170398420507294,0.0222615456367722
388,0.0107290476668651,0.0135366863890425,0.0229738430718875,0.030700422380312,0.0107090127461987,0.0259830624194467,0.0171687694989856,0.0225684562300509
389,0.0116396851350072,0.0144753683706486,0.0243728268991346,0.0321601319964321,0.0122875897034846,0.0274614476820445,0.0185369907068362,0.0244671834203193
390,0.0115150464364079,0.014939678648933,0.0246983138101666,0.0324613069177465,0.012674504709329,0.02829463245709,0.0189220411942411,0.025475161053174
391,0.0129304209648917,0.0162775941028917,0.0266546196375743,0.034512433193427,0.0144187903446324,0.0297025687291463,0.0199586399337107,0.0270488997802608
392,0.0143003981260513,0.0174453821363016,0.0283670042256687,0.0363485047167255,0.0157431745567674,0.0311080842133571,0.0211249906002093,0.0288202521264802
393,0.0144089864947367,0.0176522174958021,0.0286309683796924,0.0366281758227452,0.0156206601631337,0.0319346592812435,0.0217979543044268,0.0301153729240496
394,0.0139887885616103,0.0171463041132333,0.0289116099871572,0.036661539461864,0.0157739474908434,0.0319801189190254,0.0216446344445405,0.0299683995349735
395,0.0147025886648434,0.0177752319949788,0.0302128357176301,0.0378672574542655,0.0171266641383201,0.0330608410606989,0.0227382251460098,0.0308522070161822
396,0.0161163891881019,0.019193772467901,0.0318624850559408,0.0396699040083856,0.0188908548439099,0.0347160080963426,0.024597003968851,0.0326067014974941
397,0.0170909244738088,0.0202249612549902,0.0328432837722243,0.0408659283125622,0.0198026623638608,0.035815759243422,0.0258704371126056,0.0341014892552713
398,0.017054598602451,0.0197849060575196,0.0337075377728662,0.040975689561577,0.0195004131190955,0.0361532715859302,0.0257324813377909,0.0344260063586453
399,0.0172167109981349,0.0199470089821926,0.0342258874988929,0.0417243381224075,0.0197761331827677,0.0369543229870237,0.0257498542591899,0.0351321530625884
400,0.0180370659551564,0.0211509544359761,0.0350881134164692,0.0434492378358725,0.0210162466157827,0.0383368988743485,0.0266783748849633,0.0365961286774904
401,0.0192063725537077,0.0223181619955893,0.0374744739101796,0.0452114473217348,0.0223262673492902,0.0394602831319552,0.0283445608939911,0.0381036496929637
402,0.0195794553130747,0.0222169097218226,0.0376583128798647,0.0456387372674269,0.0226459162550079,0.039699868716889,0.0284826747949214,0.0389836604274498
403,0.0201619685947283,0.0226053889412624,0.0381940883280221,0.0463318011809366,0.0232155493105517,0.040373441788438,0.0291067456043921,0.0402215469286724
404,0.0213994210813793,0.0241493849348439,0.0403603238244554,0.0480251629016769,0.0245880645991775,0.0419817770592495,0.0310708091028201,0.0420631837848489
405,0.0220030773911214,0.0245205310245519,0.0410495688362104,0.0488910523520371,0.0253109267328134,0.042936968533148,0.0317366673621926,0.0428290159740055
406,0.0225026473308801,0.024734580035594,0.0419959251786276,0.0496858110140305,0.0258580220962178,0.0436920759327995,0.0321094424378377,0.0435638983055426
407,0.0229104960918666,0.0251051480396271,0.0432325051555281,0.0506480593937258,0.0264038358489278,0.0444655600200866,0.0325200348411535,0.0444149622646663
408,0.0231692067422346,0.0256663010473829,0.0442974019730435,0.0517940818199907,0.0269960838874762,0.0453343402800073,0.033081539930987,0.0452528205795913
409,0.0235758018051769,0.026088375856456,0.0449328799745504,0.0528137033699824,0.0274163266467346,0.0459256694863074,0.0337787688839507,0.0459734244855588
410,0.0240052734000309,0.0266248758444749,0.04559604401575,0.0537051969194287,0.0277999002712563,0.0465841532502648,0.0342590426195176,0.0469208175563415
411,0.0246156469116692,0.0273711249464446,0.0466485169784998,0.0546742903242774,0.0284591896246836,0.0474716064963764,0.0346587612083972,0.0480841964778014
