"wavelength","1","2","3","4","5","6","7","8"
350,0.0497662570168422,0.0273457397173203,0.0467065085811148,0.021017509483546,0.0140821226186996,0.0200273039014235,0.0209080013062687,0.00824026198761161
351,0.0537289929493596,0.0330285289886488,0.0503583241741976,0.0251883139653249,0.0200255630866624,0.0258328484166807,0.0264629854504768,0.0147879102377992
352,0.0546115795883271,0.0355642467684141,0.0546865201957554,0.0268625088138532,0.0230912983422745,0.0298353741349131,0.0310101646636629,0.0178541798497218
353,0.0539155778644325,0.0338375689622874,0.0571357832383431,0.0305403283878465,0.0243206014543863,0.0292196142730049,0.0302456140996625,0.0201757232748244
354,0.0532710292838452,0.0352219628881295,0.0564297409712363,0.032644093758851,0.0262087375304977,0.0322737397855198,0.0308262231705606,0.0229668355906937
355,0.0538763950662058,0.0375458329949419,0.0572077870891579,0.0345609858532545,0.028029424756107,0.035491185728736,0.0347343889267027,0.0259231914861847
356,0.0556243672197501,0.0385368375455524,0.0607626809915605,0.036701459590886,0.0290678011292345,0.0365287263419798,0.0397421838076647,0.0284232098076425
357,0.0566212725252627,0.0381699304979759,0.0615556908319824,0.0365023832154718,0.0293742720783014,0.0378780014715692,0.0376579373220087,0.0297716572210009
358,0.0557131932470419,0.0384105426098084,0.0610884222979612,0.0354253396727748,0.0300839278839381,0.037122374273422,0.0376179275480606,0.0295636685988863
359,0.0561536963409244,0.0402565689355772,0.0623961219623861,0.0363461950151944,0.0316015792656468,0.0370464384229462,0.0404547715593871,0.0299777772573396
360,0.0599824517887602,0.0432812726282091,0.0667501660444026,0.0405073267605966,0.0338442151644385,0.0402972788478842,0.0441654101150268,0.0327879317453078
361,0.0603073153061724,0.0436672484442058,0.0676424627241174,0.0423712421444277,0.0365580746834505,0.044166229890094,0.0464919429504222,0.0361089153636386
362,0.0593073626497006,0.0427959275324588,0.0663288372968543,0.0422928791928561,0.0361501680909216,0.044791694327016,0.0460400459198694,0.0363363295785276
363,0.0584056866351509,0.0413770712544162,0.0650308830065584,0.041526647974067,0.0338181934369803,0.0427655131190615,0.0443626719609752,0.0344338936819676
364,0.0584100026081247,0.040127741684716,0.0661403861976825,0.0419062886189516,0.0338245583706852,0.0418218782785562,0.0447161337164468,0.0343259822637796
365,0.0602564197258388,0.0447761314877583,0.0692390891366477,0.0459374938071957,0.0392047028303524,0.0465145478847655,0.0482441948081055,0.0387085199593599
366,0.060352020731807,0.0464000959662235,0.0699929483470966,0.0468867066012737,0.0402668346045326,0.0488219729220678,0.0497981675458934,0.0406117321020647
367,0.0591051174755071,0.0438366541053912,0.0686991770263134,0.0444333650908903,0.0361925813437434,0.0472482887750699,0.0491090685748645,0.0391255042351718
368,0.0628004650039977,0.0483505963426238,0.0722159954895037,0.0479547326856531,0.0395817575126161,0.0507031987965888,0.0531794822097763,0.0426609152542469
369,0.0620608003453995,0.046249198906308,0.071342670466139,0.0474301761877932,0.0396592918115972,0.0488102842135529,0.0515432706645853,0.041923623285558
370,0.0611423014629037,0.0438973981021127,0.0704284194734417,0.0468960913582255,0.0395965352983793,0.0474021204157159,0.0503002317597623,0.0409887897382366
371,0.0639163403180382,0.0475755010341172,0.0736167682919943,0.0501849917790795,0.0426999515464924,0.0515593482820941,0.0546311417747997,0.0437364584427284
372,0.0629488843252809,0.0490961837776869,0.074753737750924,0.0504248137875585,0.0430438110656715,0.0527766988725507,0.0550474077692089,0.0438638369262304
373,0.0623718739150841,0.0477866632998171,0.0736727364274394,0.0497863986747303,0.0416996914816484,0.0516691009498435,0.055052069697044,0.0435346444802476
374,0.0632728678763558,0.047041639393991,0.0734308764824011,0.0500609298336735,0.0416096399877753,0.0516528429028855,0.0559301220777585,0.0447211088689353
375,0.0649587399458355,0.050691951630439,0.0772307415098211,0.0522845422196493,0.0453569016030637,0.0559492254101363,0.0575635390182464,0.0482990900823216
376,0.0660713073963578,0.0512184790719588,0.0780193388956013,0.0540289829019349,0.047439686670827,0.056986178247875,0.058328263437536,0.0492097353479603
377,0.0663540066224582,0.0509668178350146,0.0785464367096002,0.0548867942007397,0.0470064056281241,0.056655852769977,0.0580077090855306,0.0494004221634642
378,0.065883519036805,0.0513708895618819,0.0794679766488059,0.0548301626691174,0.0458636489441321,0.0564822459011527,0.057571616775103,0.0499232236533358
379,0.0650221284938917,0.0519483133395297,0.0784592194075681,0.054093112851284,0.0479275500075202,0.056681911719357,0.0589728258591276,0.0502348511987607
380,0.0669583382672481,0.0531034139702843,0.0795116102410221,0.0551182313957017,0.0495783125040257,0.0581970414634229,0.0610595498672931,0.0512337927331076
381,0.0689988123076953,0.0541643853998057,0.0816794124994771,0.0567834198325065,0.0506325619997658,0.0600367356567287,0.0629291462405257,0.0528292814683927
382,0.069051171331651,0.0547849695027358,0.0835002709601073,0.0578052602280001,0.0515100620325927,0.0612954092195351,0.0640877350173212,0.0544585456646177
383,0.0689885064528755,0.0558230106031709,0.0847803921362343,0.0582713964279149,0.052312818959163,0.0622255235572872,0.0646606572485052,0.0548756711612101
384,0.0706861678196548,0.0573181021922022,0.0866048638782228,0.0597267048265563,0.0533716759558846,0.0627932634075064,0.0665055088564013,0.0558646912252987
385,0.0729613099711394,0.0586814467574927,0.0884020471107309,0.0615211349118346,0.0551814281066165,0.064036064640902,0.0689774098960026,0.0578271408371567
386,0.0737609644147386,0.0591935780872616,0.0892470920144481,0.062367618058049,0.0576155762560057,0.0665390129520593,0.0704479368264927,0.060157254940884
