"wavelength","1","2","3","4","5","6","7","8","9","10"
350,0.0689930885095716,0.0627453282694275,0.0680241583415904,0.0741992762816429,0.0827400794818648,0.0719349952134851,0.118753452730628,0.101076798729569,0.0679625634292185,0.0781658950755347
351,0.0705490206019584,0.0637738713476693,0.0698260438836449,0.0769391199866395,0.0835242339931669,0.0745195214133927,0.120139934744786,0.103448180769565,0.0670488446904907,0.0818041698621705
352,0.0661915249934679,0.0527793533037752,0.0635755443995245,0.0697358981657677,0.0772089112887294,0.0686215842510128,0.111198241640631,0.0953380534394675,0.0585580413319415,0.0805923196577329
353,0.0708164708763418,0.0578006885827743,0.0657960781068807,0.0742067018713194,0.0778509667237737,0.0739339427492557,0.111841634208375,0.0989166910283577,0.0649145644163885,0.0812118165965646
354,0.0723402692234419,0.0593471954928401,0.0627970552044789,0.0733322608892833,0.0806454612956854,0.073988441317556,0.111384296439888,0.100385498074089,0.0669485818193618,0.0809093335720897
355,0.0723744722498794,0.0608795885248172,0.0607327716094263,0.0718834705986913,0.082463627704096,0.0731637975340055,0.111189842385515,0.100584865886419,0.0675705457186743,0.0811197717686024
356,0.0741310988640273,0.0674163083333419,0.0662828660516642,0.0762636866001297,0.0813337389977335,0.0774644474651179,0.113558003386994,0.101740731830453,0.0718829974485092,0.0829325504940019
357,0.0710826393855195,0.0630822288571878,0.0638871601376139,0.0740473596765449,0.0794640386077755,0.075205924160868,0.111426565880451,0.0938601372435651,0.0674567009642977,0.0802947474204203
358,0.0709635155724714,0.0602305821030586,0.0638738944930031,0.0723569584456829,0.0796740584545785,0.0715321432006631,0.109342789581939,0.0917031828026046,0.0657905709049466,0.0804023062560154
359,0.0745946336054253,0.063311947326181,0.0692113020076394,0.0736897697812527,0.0809905613736088,0.069777464500439,0.108930718368844,0.0983682952716728,0.0700106861554391,0.0838820418394825
360,0.067891987421627,0.0592134830678991,0.0668692189244618,0.0693487805509349,0.0748090074765546,0.0682521762614437,0.104761219177498,0.0931763136843754,0.0650730052382842,0.0771153863130772
361,0.0652488736131185,0.057807198584046,0.0623211344659466,0.069157483997442,0.0709101524939553,0.0671972283635621,0.103153524151684,0.0902909821513276,0.0639995535685652,0.0740849901373239
