"wavelength","1","2","3","4","5","6","7"
350,0.0664108484347767,0.0643858656920618,0.0530063805209535,0.0684926812275882,0.0620713499491837,0.0761712265520362,0.107580751645747
351,0.0707115472702146,0.0657372411597079,0.0573728166267739,0.0702229721070662,0.065000172350116,0.0794462353769431,0.111187755217401
352,0.0625773900510317,0.0559852531669621,0.0517131365497591,0.0589759233730731,0.0586596058843385,0.071562563753419,0.101830117759622
353,0.062928295752958,0.0594529139672304,0.0573901059836339,0.0675796664617427,0.064513656229185,0.0752500592125836,0.104776355642129
354,0.0643628882091411,0.0616144182836011,0.0569218456083127,0.0697480243389228,0.0658234665802084,0.0776352021059935,0.106219008132547
355,0.0669493704226639,0.0638479283110198,0.0582517526942379,0.0683491839062416,0.0660536860484857,0.0798496868167856,0.107586776495634
356,0.0707793311944195,0.0684976813118587,0.0691145421951126,0.0702114211462773,0.0698697331300011,0.0838014014118999,0.111682618828747
357,0.0685289014517987,0.063720720425017,0.064687069079997,0.0662547074008376,0.0621742127305746,0.0786823210976306,0.11119564385368
358,0.068407822923633,0.0624501909070856,0.0608076167636092,0.0660383671954629,0.060583129027847,0.0762684549273665,0.110733173172694
359,0.07166993027632,0.0679615011253194,0.0637595535317748,0.0711201877476453,0.0692601475961611,0.0797876754903291,0.111290081029443
360,0.0642458861897129,0.0632512828456872,0.0577498734908873,0.0657462755774796,0.0640745538836691,0.0739475927501846,0.105025131463174
361,0.061686991061496,0.0593320915502821,0.0530509117757696,0.0633683171206997,0.0596015754930492,0.0706397386384459,0.1023295804654
362,0.0651312656043207,0.0601532873030466,0.0530843949827818,0.0649192424599687,0.0602652831316981,0.0721172193333269,0.103548236411728
363,0.0678298182450596,0.0657651269439039,0.0575397690903661,0.0648629642022648,0.0651983333968885,0.0754976580915851,0.103645471361962
364,0.0676234148070904,0.0655052771986296,0.060173707557034,0.0655919579215876,0.0660362955269628,0.0770249522243875,0.105133375252331
365,0.0648597858582211,0.0623083711553824,0.0598020515315834,0.0660570941906626,0.0637858494341958,0.0759962815537821,0.105642971460119
366,0.0616166919582406,0.0610505953612696,0.0574684588858062,0.0653145919798872,0.06151499436916,0.0733930106379605,0.103621244441642
367,0.0640491254847782,0.0619731181323207,0.0578882691789568,0.065003741896189,0.061473579885768,0.0732327968329335,0.10444831897407
368,0.0674476767987556,0.0638138435240806,0.0593981727664137,0.0672553789831862,0.0625968973376387,0.0754988528500531,0.106686317235299
369,0.0689644874829843,0.0653438466306056,0.0602585953904034,0.0709179135374545,0.0636708658558968,0.0786535513343593,0.108317002296482
370,0.0687696109826587,0.0653270052560947,0.0584701463169459,0.0695645535107115,0.0632837935880582,0.0789738843746296,0.106083089569624
371,0.068291525571609,0.0645258012639532,0.0585797643790932,0.0671160101921456,0.0623300675218348,0.0780735986316792,0.106247057976973
372,0.0674950520301213,0.063354289570357,0.0592015619577598,0.0660842799711445,0.0619748548865326,0.0768624568942848,0.108001629185133
373,0.0659683558966078,0.0623436189921718,0.0568412213039425,0.0683182704135248,0.0634864343796616,0.0762502506571167,0.107589347030746
374,0.0684603124430087,0.0648240023260605,0.060956428666968,0.069751080383698,0.0658851785537515,0.0781401414520311,0.109719162653649
375,0.0704052672789491,0.0666462815885406,0.0649160353261784,0.0695887940186171,0.0665543515754163,0.0790693762270889,0.11180004806094
376,0.0685321885605789,0.0649962774741602,0.0628679897470255,0.0681497656733345,0.0643826100128201,0.0769069868229096,0.11137246370218
377,0.0696537018947769,0.0662320340182249,0.0604297884418575,0.0670794352542012,0.0641178116503367,0.0771925548674465,0.110355660568255
378,0.0689658548690656,0.0652667725970486,0.0587690935172485,0.0668819978935132,0.0630563698396109,0.0770846529092757,0.109023414894719
379,0.0665009266739958,0.0623204951585239,0.0588992725894069,0.0675694686791879,0.0614484013647572,0.076347656606694,0.108043843447086
380,0.0690881099506056,0.064963945326555,0.0624854041293393,0.0687486161558174,0.0640064401132901,0.0786881609208929,0.109012880346142
381,0.0684372913210366,0.0654113339046886,0.0606310063148288,0.0687440941988639,0.062325188898796,0.0761079503995498,0.107511636754718
382,0.0663539140268861,0.0643673837786151,0.0573559526205087,0.0678978085312848,0.0591626479930098,0.0728213217591504,0.106014119249477
383,0.0678864876580113,0.0652888225067022,0.0606421882398035,0.0674313408696323,0.0609461582786214,0.0765518211267455,0.108855113581776
384,0.068160595995468,0.0646001528862503,0.0599366157090061,0.0678223665432294,0.0625925648728963,0.0759779200892489,0.108220045661425
385,0.0686779721131834,0.0643796602784035,0.0592671240674544,0.0694990460320219,0.0639607151264986,0.0762638844564366,0.108093378392576
386,0.07030962077353,0.065860376375917,0.0616655256594834,0.0715400382753289,0.0649856846374723,0.0803084927778858,0.11084693041533
387,0.0691515584269975,0.0654432385839572,0.0610268191741688,0.0686229245702073,0.0632437543784007,0.0766977197293911,0.108626353660386
388,0.0695478524666685,0.065630639681944,0.0612059834453602,0.06814569322008,0.0633985544884235,0.0762267019159129,0.108798659473036
389,0.0717258746259652,0.0665862759676155,0.0626982949159355,0.0710373572465894,0.0657117262201837,0.0801687858247646,0.112043096646551
