"wavelength","CAL1","CAL2","CAL3"
350,0.0788576683309125,0.0719507786224726,0.0610775963356588
351,0.0793755369043648,0.0724285258868448,0.0610167121360975
352,0.0798351298970226,0.0728354125252292,0.0608433949991016
353,0.0804740918940665,0.0735041142099289,0.0608481549806555
354,0.0812347646067368,0.0740539558735227,0.0607419614141675
355,0.082122254530806,0.0746260627005721,0.0605788868535931
356,0.0831291350527158,0.0754357816274054,0.0604902966841366
357,0.0841559316170493,0.0762765284171628,0.0604836680151027
358,0.0853132502149087,0.0771671437811551,0.0604609159672891
359,0.0866168305476742,0.0781259316086463,0.0603639180219572
360,0.0878244777220019,0.0791031232390899,0.0601976860594356
361,0.0892344780670095,0.0802870820474805,0.0601947928491443
362,0.090793650740496,0.081576624207912,0.0602608441147109
363,0.0922590842430732,0.0827106309092545,0.060108502716671
364,0.0938539675947769,0.0839372749563564,0.0599613062279666
365,0.0955666748646179,0.0852565075648377,0.0599016798085837
366,0.0973340910422612,0.0866174429173333,0.0599317074714822
367,0.0990744218377315,0.0879770470928272,0.0598525699344565
368,0.100997328885389,0.0894346008730472,0.0597975035729306
369,0.103152309358729,0.09102482672954,0.0598088358299277
370,0.105273694326195,0.0926576215172688,0.0597626731861609
371,0.107749075394052,0.0944234998055603,0.0597172216266997
372,0.110661863897153,0.0964383434459586,0.059719685744798
373,0.113906466788981,0.0988049080306914,0.0598071790256227
374,0.117464906641297,0.101343382531695,0.0597952685678974
375,0.121237291406678,0.104026987829615,0.0597826771780744
376,0.125113923130508,0.106814627069528,0.0598490837840861
377,0.12915843938959,0.109610262327879,0.0597688861613969
378,0.133468283316127,0.112548101746672,0.0597331537528871
379,0.138131719775296,0.115727327537713,0.0598115546128166
380,0.143097487028859,0.119114187899192,0.0599057235162581
381,0.148405042514753,0.122679296901292,0.0598867077440704
382,0.154191425457293,0.126487243588811,0.0598242676588192
383,0.160707489250113,0.130695365432813,0.059880702873859
384,0.16828654205883,0.135528985461971,0.0599911528649611
385,0.176973405502638,0.141003624352705,0.0600117490869196
386,0.186645652640187,0.147010499939199,0.0598828206668347
387,0.197132312255408,0.153387622684719,0.0598660347709818
388,0.207878716219588,0.159725610270627,0.0598429024964644
389,0.218741869008295,0.165909827648056,0.0597797275268862
390,0.229652045208317,0.17193451489218,0.0597444691449102
391,0.241552761720939,0.1781062746181,0.0596925384492095
392,0.25507670559494,0.184783910232589,0.0596364969690672
393,0.270617052386167,0.192249792218652,0.0596062992523577
394,0.288202436763062,0.200285670584991,0.0595887282995915
395,0.308070391527777,0.20889928310652,0.0595634158572814
396,0.329928954489157,0.217867989785872,0.0595151454323415
397,0.353182804664832,0.226735391790786,0.0594455715816855
398,0.376790635799099,0.235154352003198,0.0593265703364141
399,0.399845345010678,0.242787993002253,0.0591997425658725
400,0.421155250132981,0.249159002473046,0.059177136088304
401,0.442252943839767,0.25482781891523,0.0590845264537696
402,0.463865448490876,0.260119519776988,0.0589966526459876
403,0.48603621832933,0.265124015672588,0.0590333929874678
404,0.508491817502219,0.26960056094173,0.0590212044073127
405,0.531954837885502,0.273793984441574,0.0589716949006562
406,0.557107783474712,0.277909427157954,0.0589164216444332
407,0.582865571207765,0.281638703807832,0.0588813753317954
408,0.60869880496297,0.284976211633689,0.0588239300159388
409,0.633985388418015,0.28788072772702,0.0587495460186193
410,0.658131972151393,0.29028869163177,0.0587245392761945
411,0.680720115142708,0.292235999727399,0.0586545159885993
412,0.701560703662867,0.293781990202108,0.0585689610003839
413,0.72062917057426,0.295000968680328,0.0585364640741603
414,0.738036682533026,0.295949114059961,0.0585093497475176
415,0.753912319138575,0.296673918348463,0.0584682683953634
416,0.768308488396541,0.297204940356006,0.0584131039605742
417,0.781111140988307,0.297534400723732,0.0583947757736594
418,0.792506924922215,0.297734807450815,0.0583678201257952
419,0.802648113946801,0.297850173373122,0.0583191586102714
420,0.811512536690715,0.297889153928584,0.0582798457300252
421,0.81920203313999,0.297845680092692,0.0582429585726145
422,0.825841469647247,0.297739608147217,0.0582031384756639
423,0.831577196418438,0.297599914960329,0.0581542938169131
424,0.836417909124792,0.297386084058011,0.0580916601013499
425,0.840532310741315,0.297154467491957,0.0580547859697849
426,0.844128494753236,0.296952169005991,0.0580645627345651
427,0.84728332794171,0.296725076673022,0.0580290074439758
428,0.850134569480948,0.29646928304315,0.0579954603496873
429,0.852725245190434,0.296179732691775,0.057980162931275
430,0.855002363198387,0.295837807181021,0.0579272119862053
431,0.857101546959066,0.295465337164632,0.0578988140313705
432,0.859031207649488,0.295083517848917,0.0578814775372451
433,0.860710917230989,0.294715432702806,0.057820473004295
434,0.862196910350737,0.294315231139375,0.0577654542627377
435,0.863519983050089,0.293925752161961,0.0577259031908006
436,0.86470643579131,0.29359345611756,0.0577010951175741
437,0.865841832392022,0.293273742518067,0.057692303340737
438,0.866929641494982,0.292899857072024,0.0576567925321507
439,0.867981003775228,0.292464963366779,0.0575890560356009
440,0.869025755811674,0.292093498429512,0.057569617227818
441,0.870037268251055,0.29172701168406,0.057533232729238
442,0.871015269540568,0.291348464595204,0.0574765051557952
443,0.871968154166372,0.290971982288712,0.0574433569138849
444,0.872847212912438,0.290606440467972,0.0574271630021199
445,0.873702155612158,0.290246169597415,0.0574096022740103
446,0.874600059525348,0.289877515045385,0.0573727231058024
447,0.875411471160558,0.289490581340171,0.0573491601859593
448,0.876210107775635,0.289113235187675,0.0573255456920345
449,0.877044154547252,0.2887596356124,0.0572940374495407
450,0.877815251724447,0.288391527646929,0.0572818660663274
