"wavelength","1","2","3","4","5"
350,0.039479870612428,0.0423917596557279,0.0282254434525921,0.0257265334339309,0.054283967862891
351,0.0417993858354434,0.0470973060729543,0.0291373430179883,0.0304588371532419,0.0561989423863853
352,0.0317557038161526,0.043061104221224,0.018314192033154,0.0285441862190473,0.0460169039196128
353,0.0402854817279173,0.0433967836158388,0.0304566770992158,0.0327487204510774,0.0535863253278353
354,0.0418846533392706,0.0450844486959277,0.0315120132133972,0.0333023835273545,0.0573139260260504
355,0.0412691107766475,0.0481135184877706,0.0267272645099977,0.0333192075763868,0.0571626736676984
356,0.0464955538212925,0.0517591048893088,0.0279901163045139,0.0367362741596391,0.0566283063734521
357,0.0444930647618656,0.0483114708538628,0.0310458722404095,0.0354326190992299,0.0480666107369885
358,0.0410727905857513,0.0470886518902373,0.0339039851824857,0.0341590704356137,0.0486575066909917
359,0.0401840264937754,0.0499695427275014,0.0344260675916597,0.0343092444300449,0.0600988981761994
360,0.0409100416436954,0.0424767834667356,0.028386168903546,0.0287524894691773,0.0527806246049298
361,0.0399543660802619,0.0392870323350091,0.026750991218983,0.0280382756165672,0.0504744454171945
362,0.0387847035836354,0.0420430108179418,0.0292717948085343,0.031375816163074,0.0549909892481061
363,0.0413333667365645,0.0449989942494321,0.0293729470297993,0.0317306148201358,0.0564052383109687
364,0.0406518903870963,0.0436356829463746,0.0313417389038822,0.0336931667490573,0.0549696029897343
365,0.0377458368937486,0.0419403169843758,0.0316720510570433,0.0343739314800504,0.0529106408703143
366,0.0354584030436954,0.0438893160556025,0.0278689621092413,0.0314874689381427,0.0524587992115192
367,0.0369373363530417,0.0451025349409657,0.0272069001631454,0.0305810689121055,0.0532575769039365
368,0.0415998471475226,0.0476170340862249,0.0304526416784556,0.0331911475486933,0.0551695471578444
369,0.0464663560181912,0.0503931165575737,0.0355160432104391,0.037642664686753,0.0565174481402392
370,0.0440032269170031,0.0463672800881911,0.0362008524288788,0.0372470304540592,0.0522548591661251
371,0.0421980204973461,0.0435200797581261,0.0334011523761538,0.0359419705822607,0.051513966630595
372,0.0428831605740264,0.043182665437181,0.03008897494485,0.0341336639455865,0.054426018045857
373,0.0452237916327872,0.0440686612764473,0.0305844129286559,0.0314228778009831,0.056911912753307
374,0.0481669980207762,0.0491201069084801,0.0344504291041653,0.0351123783164083,0.0585129121406093
375,0.0480218779147086,0.0520548066516993,0.0366247105815621,0.0376614218718881,0.058785171188639
376,0.0433940810450873,0.0488183696025392,0.0339983227327424,0.0335965808463448,0.0578215679876937
377,0.0413760442023274,0.0484087490501055,0.0326294184769011,0.0336364413400957,0.0573341656030008
378,0.0417664359699832,0.0460481025348208,0.0323269753961961,0.0331444220435679,0.0540244488600677
379,0.0433311416674387,0.0420862709240643,0.0326246965615929,0.0314659523783355,0.0497131815126797
380,0.0437098347467601,0.043920076032677,0.0329048017120179,0.033578923155749,0.0537451314368158
381,0.0429461538091177,0.0467344061055427,0.0327850101805454,0.0338653155613904,0.0524909967928458
382,0.0418123740424581,0.0475738068949821,0.0323617471068788,0.0332861432862694,0.048941065379398
383,0.0415080533324717,0.0445053814003499,0.0320079893916488,0.0347282612918175,0.0514565586792215
384,0.0425668937401755,0.0414410601337669,0.0320586426130797,0.0331101979595519,0.0527392761293182
385,0.0435212914913778,0.0418600529612094,0.0332988786109814,0.0321091627959869,0.0531797443691771
386,0.0432983090323218,0.0457878734051488,0.0351449064442546,0.0339813211531299,0.0531350250316036
387,0.0423608396734038,0.0433342737264181,0.0322548413049339,0.0332425267882295,0.0483829049626179
388,0.0435105497571069,0.0425106053009408,0.0317233043658852,0.0329293135239088,0.0491326721422515
389,0.0460230325473358,0.0450132787458172,0.0341057589025297,0.0335849016133965,0.055080313659369
390,0.0451669708146396,0.0457316948241093,0.0327059417624388,0.0329172746459465,0.054194901413095
391,0.045601776256744,0.0469872220705154,0.0327584747352246,0.0340073065794071,0.0539826478519084
392,0.0471450582105772,0.0472278408459531,0.0342109323483177,0.0353677731333238,0.0549579588817203
393,0.0478811729749198,0.0444657954327108,0.0351404281114276,0.0343422790378251,0.0554090170028955
394,0.0456733348884876,0.044173528545713,0.0330958079679785,0.0328311939256581,0.0538119466733308
395,0.0434062622003318,0.045187951541135,0.0314411173105135,0.0329018658171836,0.0528965631687819
396,0.0432242679631209,0.0459280560773171,0.0324011145730074,0.0348566754960931,0.0541107329192159
