"wavelength","1","2","3"
350,0.0666550141140736,0.197745572310424,0.103862614991458
351,0.0721968419124327,0.202033000123842,0.108497750879267
352,0.0725586876222596,0.204096902607151,0.110660325827805
353,0.074184379027105,0.207563434149376,0.112181806480961
354,0.0763548555168856,0.206121318077437,0.113558353111225
355,0.0791290182885286,0.206657924911149,0.116614609414868
356,0.0815405210088971,0.211259832739746,0.120982868235966
357,0.0808635876520261,0.211071336860008,0.122468381120264
358,0.0803405565851247,0.211354415294563,0.122961756127313
359,0.0820583196130057,0.213716357184385,0.125111647194078
360,0.0860892013614597,0.217599874052184,0.129714011300914
361,0.087118783324258,0.218907065665188,0.130395470518319
362,0.0876638309278893,0.218376611658581,0.1300079248309
363,0.0876252291475576,0.217270365429719,0.130115403434448
364,0.0860392754180237,0.217251679435951,0.131301285043267
365,0.0904484674100805,0.221264585555746,0.1345133459937
366,0.0921286631222661,0.222772858316304,0.135375174018643
367,0.0896313066005431,0.221018106855129,0.134334190289333
368,0.0935493247609402,0.22425872827842,0.138825838288605
369,0.0922805388825176,0.223584598446037,0.139009957181971
370,0.0915170517686402,0.223028322273958,0.138377280268908
371,0.096079557173811,0.226353504794367,0.140862798511357
372,0.095824810721475,0.227432608936065,0.142088716494587
373,0.0957741334453039,0.227220982650565,0.142236937791754
374,0.0973456718163777,0.227005582740416,0.142903697189536
375,0.0997541856935138,0.2280114239113,0.145689851100979
376,0.100395198146489,0.229636418587539,0.147484597587466
377,0.101289353429289,0.230658558119615,0.147945164060929
378,0.102751534787751,0.230811896372367,0.147769011041617
379,0.102946371677852,0.230944339510792,0.148455152779449
380,0.104803691321653,0.232844024505442,0.149908984673717
381,0.106691866099229,0.235125941024177,0.151893236627564
382,0.107239779708323,0.236347676330879,0.153864340730816
383,0.107569141826809,0.236262825693834,0.154543516162295
384,0.109960266287182,0.23781226948369,0.156520943632775
385,0.112775860140569,0.240802155668027,0.159309323681356
386,0.113491732823862,0.243485421616838,0.161250845943322
387,0.113787650616466,0.243475377831424,0.161556568254369
388,0.115485853389804,0.243969967932244,0.162349756963082
389,0.117885528485821,0.245798166225203,0.164159470445286
390,0.118323640443022,0.247387038862716,0.165940823792458
391,0.120403281752799,0.249513752035229,0.168047188215217
392,0.122199859298515,0.251168475735748,0.169987996846747
393,0.122431201955749,0.251775590412305,0.171216184928676
394,0.122811102467759,0.251919327996284,0.170954884904152
395,0.124242774319337,0.253488944968651,0.172618072296796
396,0.126303469886465,0.255531292907456,0.175352141537363
397,0.128108967600468,0.256531559612873,0.177057234704882
398,0.129460808263336,0.257595687389174,0.177477137286048
399,0.130208599844404,0.25860127465746,0.178313361190887
400,0.131118849751808,0.259707037920296,0.180105712875337
401,0.133475288050804,0.261270010561004,0.182256850749641
402,0.134797817419521,0.262014160986068,0.183097947942738
403,0.13610779206829,0.263002848192644,0.184213874038683
404,0.138066318534466,0.264701367174155,0.186344783737606
405,0.139629096798535,0.265778418391499,0.187702397920133
406,0.14062760741147,0.266425750789673,0.188548329146356
407,0.141757154569375,0.267174528793838,0.189475142210202
408,0.143560071180992,0.268424649999099,0.190911034242837
409,0.144363556754037,0.269317310814649,0.191784123811252
410,0.14526783974695,0.270110527067016,0.19277185209533
411,0.146711213451835,0.271129433887136,0.194071606268128
412,0.148410857421131,0.272593954383985,0.195399257158465
413,0.149262325555602,0.27278466159333,0.196369018705013
414,0.150066653497471,0.273102999306852,0.197219830289398
415,0.151422239860428,0.274377979688168,0.198182821433532
416,0.152996685121164,0.275334190178897,0.199293452667103
417,0.153903494637541,0.276300306407572,0.200248931757135
418,0.15462047953468,0.277110561221245,0.201084468269033
419,0.155893573595309,0.277609369062279,0.201931994465761
420,0.157226596102532,0.278448869618322,0.202756150389854
421,0.158275335763482,0.278949109565897,0.20340178354139
422,0.159161981208609,0.279207819874884,0.203987668291288
423,0.160389352932951,0.28002676902744,0.204852116047277
424,0.161536666772143,0.280871377590551,0.205667919703264
425,0.162679398088657,0.28158413112392,0.206489438102407
426,0.163792793365294,0.282149505977014,0.207295261922424
427,0.164348783021182,0.282685114066303,0.207679358473884
428,0.165362595265116,0.283382230684705,0.208337859647544
429,0.166643742217479,0.2840757216538,0.209151267024605
430,0.167609898348774,0.284542247472438,0.209740306413644
431,0.168456789317969,0.285131786152676,0.210268137808834
432,0.169364261617353,0.285761074534673,0.210811085488588
433,0.170404120465074,0.286360519580923,0.211405871517586
434,0.171527701637088,0.28691025497296,0.212046019928845
435,0.172245273285945,0.287312377506407,0.212473525294454
436,0.172990495834417,0.28782124777241,0.212968386466432
437,0.174040415607072,0.288536324848033,0.213635650573754
438,0.174730709375267,0.288974176800492,0.213788134462179
439,0.175463323087714,0.289325518858192,0.214106050955282
