"wavelength","1","2","3","4"
350,-0.000844615401217353,-0.000141052431451596,-0.00686088414606137,-0.0146407625280704
351,0.00505655266960917,0.00508929550507594,-0.00093665559195792,-0.00817890627142247
352,0.00805329530655649,0.00783502849897955,0.00442259960841685,-0.00670786658426954
353,0.00992714040420442,0.00837649362112493,0.00504746744903584,-0.00704988827915835
354,0.0115015389919387,0.0104018809118973,0.00502581414031012,-0.00400948517462862
355,0.0136583912025447,0.0132144226671629,0.00690904924972745,-0.000660760171681509
356,0.0162550991728912,0.0153867381658754,0.0103252250460229,0.000857543570189314
357,0.0177034924226399,0.0153518024762963,0.0106476533880221,0.00217089962923054
358,0.0170629531244162,0.0159271151652348,0.0101816301812138,0.00191217423364713
359,0.016967396132377,0.0177819412911761,0.0119141253224271,0.0024956738504045
360,0.019750956958351,0.0203500590836916,0.0168568956012583,0.00588121891879435
361,0.0231258924879983,0.0214325127501288,0.0186517257223893,0.0090898083509589
362,0.0235682725905643,0.0212625901844275,0.0186221490397981,0.0087241667105781
363,0.0219466731874508,0.0201042812303466,0.0176258695365404,0.00644357061788007
364,0.0219160630856047,0.0187824308926387,0.0165905462572519,0.00689988015392426
365,0.0257111316870288,0.0235027047696391,0.0204922678259226,0.0112525390247721
366,0.0270967777483921,0.0255225128774522,0.0222550488093592,0.0124047055273537
367,0.0255984512811103,0.0230089946572299,0.0205913212003378,0.00999437625274256
368,0.0295346101699511,0.0254023966519972,0.0236479874829388,0.0137617748391898
369,0.0290938913754883,0.024710215480996,0.0241588383306388,0.0133747878669683
370,0.0280089671072466,0.0243459675330697,0.0239887315516567,0.0125176605967032
371,0.030299366885494,0.0273409829799121,0.0254333112144338,0.0150492645626612
372,0.0310277964513478,0.0277751556618606,0.0254972908158459,0.0152733477741746
373,0.031681601875903,0.0268514023936138,0.0256328624556423,0.0150978908059427
374,0.0325439455912644,0.0271291636995512,0.0268186546299477,0.0158477832523174
375,0.0334186410268609,0.0306994433064324,0.029424989538247,0.0179805240702769
376,0.0350154584492211,0.032298656283699,0.032109905280946,0.0183547695852354
377,0.036243121476753,0.0324245815286909,0.0325644070442255,0.0186686379505887
378,0.0364572700915299,0.032040719437429,0.0311843599236755,0.0195751887261145
379,0.0357601571381541,0.0320262366940887,0.0311831228125951,0.0201895805931322
380,0.0376335282216586,0.0333635149800479,0.0334790809565753,0.02123902371212
381,0.0398956719290688,0.0351954801174297,0.0357730103274428,0.0227572347273752
382,0.0405049570318058,0.0363433043019543,0.0363260802932981,0.0242008719647641
383,0.0404108822198298,0.0355462095587856,0.036034538555374,0.0238351177424086
384,0.0409604999213685,0.0368485541113907,0.0376799311784061,0.0245612455513543
385,0.0426104327791012,0.0392377987851432,0.0398099611920193,0.0264690399495311
386,0.0448354898185297,0.0401237917337938,0.0400977630378399,0.0283041060441528
387,0.0443138789463813,0.0398978213987159,0.041128288380761,0.0280225873246706
388,0.0447913478192838,0.0402763161464601,0.0427579393975014,0.0290953101913774
389,0.0465844768562806,0.041466959806894,0.0442148313930204,0.0313140287451482
390,0.0467917430007195,0.0423390375287952,0.0445060859371263,0.0311857739747515
391,0.0482851929153692,0.0442793944452869,0.0460369095689991,0.0323796328928567
392,0.0500667433059402,0.0456489489781941,0.0476414995826957,0.034073699041033
