Dir,Plant,File,Sample,Rep
EMIT_IC1_060724_,GUSA,1,1,1
EMIT_IC1_060724_,GUSA,2,1,2
EMIT_IC1_060724_,GUSA,3,1,3
EMIT_IC1_060724_,CORA,4,1,1
EMIT_IC1_060724_,CORA,5,1,2
EMIT_IC1_060724_,CORA,6,1,3
EMIT_IC1_060724_,ATCA,7,1,1
EMIT_IC1_060724_,ATCA,8,1,2
EMIT_IC1_060724_,ATCA,9,1,3
EMIT_IC1_060724_,CORA,11,2,1
EMIT_IC1_060724_,CORA,12,2,2
EMIT_IC1_060724_,CORA,13,2,3
EMIT_IC1_060724_,ATCO,14,1,1
EMIT_IC1_060724_,ATCO,15,1,2
EMIT_IC1_060724_,ATCO,16,1,3
EMIT_IC1_060724_,CORA,17,3,1
EMIT_IC1_060724_,CORA,18,3,2
EMIT_IC1_060724_,CORA,19,3,3
EMIT_IC1_060724_,ATCO,20,2,1
EMIT_IC1_060724_,ATCO,21,2,2
EMIT_IC1_060724_,ATCO,22,2,3
EMIT_IC1_060724_,ATCO,23,3,1
EMIT_IC1_060724_,ATCO,24,3,2
EMIT_IC1_060724_,ATCO,25,3,3
EMIT_IC1_060724_,GUSA,25,2,1
EMIT_IC1_060724_,GUSA,26,2,2
EMIT_IC1_060724_,GUSA,27,2,3
EMIT_IC1_060724_,GUSA,28,3,1
EMIT_IC1_060724_,GUSA,29,3,2
EMIT_IC1_060724_,GUSA,30,3,3
EMIT_IC1_060724_,ATCA,31,2,1
EMIT_IC1_060724_,ATCA,32,2,2
EMIT_IC1_060724_,ATCA,33,2,3
EMIT_IC1_060724_,CORA,34,4,1
EMIT_IC1_060724_,CORA,35,4,2
EMIT_IC1_060724_,CORA,36,4,3
EMIT_IC1_060724_,ARSP,37,1,1
EMIT_IC1_060724_,ARSP,38,1,2
EMIT_IC1_060724_,ARSP,39,1,3
EMIT_IC1_060724_,EPTO,40,1,1
EMIT_IC1_060724_,EPTO,41,1,2
EMIT_IC1_060724_,EPTO,42,1,3
EMIT_IC1_060724_,ARSP,43,2,1
EMIT_IC1_060724_,ARSP,44,2,2
EMIT_IC1_060724_,ARSP,45,2,3
EMIT_IC1_060724_,EPTO,46,2,1
EMIT_IC1_060724_,EPTO,47,2,2
EMIT_IC1_060724_,EPTO,48,2,3
EMIT_IC1_060724_,GUSA,49,4,1
EMIT_IC1_060724_,GUSA,50,4,2
EMIT_IC1_060724_,GUSA,51,4,3
EMIT_IC1_060724_,EPTO,52,3,1
EMIT_IC1_060724_,EPTO,53,3,2
EMIT_IC1_060724_,EPTO,54,3,3
EMIT_IC1_060724_,ERNA,55,1,1
EMIT_IC1_060724_,ERNA,56,1,2
EMIT_IC1_060724_,ERNA,57,1,3
EMIT_IC1_060724_,ERNA,58,2,1
EMIT_IC1_060724_,ERNA,59,2,2
EMIT_IC1_060724_,ERNA,60,2,3
EMIT_IC1_060724_,JUOS,61,1,1
