Dir,Biocrust,File,Sample,Rep
EMIT_IC2_060624_,DCY,141,4,2
EMIT_IC2_060624_,DCY,142,4,3
EMIT_IC2_060624_,DCY,143,4,4
EMIT_IC2_060624_,DCY,144,4,5
EMIT_IC2_060624_,DCY,145,5,1
EMIT_IC2_060624_,DCY,146,5,2
EMIT_IC2_060624_,DCY,147,5,3
EMIT_IC2_060624_,DCY,148,5,4
EMIT_IC2_060624_,DCY,149,5,5
EMIT_IC2_060624_,DCY,150,6,1
EMIT_IC2_060624_,DCY,151,6,2
EMIT_IC2_060624_,DCY,152,6,3
EMIT_IC2_060624_,DCY,153,6,4
EMIT_IC2_060624_,DCY,154,6,5
EMIT_IC2_060624_,DCY,155,7,1
EMIT_IC2_060624_,DCY,156,7,2
EMIT_IC2_060624_,DCY,157,7,3
EMIT_IC2_060624_,DCY,158,7,4
EMIT_IC2_060624_,DCY,159,7,5
EMIT_IC2_060624_,DCY,160,8,1
EMIT_IC2_060624_,DCY,161,8,2
EMIT_IC2_060624_,DCY,162,8,3
EMIT_IC2_060624_,DCY,163,8,4
EMIT_IC2_060624_,DCY,164,8,5
