"wavelength","CAL1","CAL2","CAL3"
350,0.0775623148239542,0.0706178329814472,0.0606164636295511
351,0.0780801833974065,0.0710955802458194,0.0605555794299899
352,0.0785397763900643,0.0715024668842037,0.060382262292994
353,0.0791787383871081,0.0721711685689035,0.0603870222745478
354,0.0799394110997784,0.0727210102324972,0.0602808287080598
355,0.0808269010238477,0.0732931170595467,0.0601177541474855
356,0.0818337815457575,0.07410283598638,0.060029163978029
357,0.0828605781100909,0.0749435827761374,0.060022535308995
358,0.0840178967079504,0.0758341981401297,0.0599997832611814
359,0.0853214770407158,0.0767929859676208,0.0599027853158496
360,0.0865291242150435,0.0777701775980645,0.0597365533533279
361,0.0879391245600512,0.078954136406455,0.0597336601430367
362,0.0894982972335376,0.0802436785668866,0.0597997114086033
363,0.0909637307361149,0.0813776852682291,0.0596473700105633
364,0.0925586140878185,0.082604329315331,0.059500173521859
365,0.0942713213576595,0.0839235619238123,0.0594405471024761
366,0.0960387375353028,0.0852844972763079,0.0594705747653746
367,0.0977790683307733,0.0866441014518018,0.0593914372283489
368,0.0997019753784312,0.0881016552320219,0.0593363708668229
369,0.10185695585177,0.0896918810885146,0.05934770312382
370,0.103978340819236,0.0913246758762434,0.0593015404800532
371,0.106453721887094,0.0930905541645349,0.059256088920592
372,0.109366510390195,0.0951053978049331,0.0592585530386904
373,0.112611113282023,0.0974719623896659,0.059346046319515
374,0.116169553134338,0.100010436890669,0.0593341358617898
375,0.119941937899719,0.10269404218859,0.0593215444719668
376,0.123818569623549,0.105481681428502,0.0593879510779784
377,0.127863085882631,0.108277316686853,0.0593077534552893
378,0.132172929809168,0.111215156105646,0.0592720210467795
379,0.136836366268338,0.114394381896687,0.059350421906709
380,0.1418021335219,0.117781242258166,0.0594445908101504
381,0.147109689007794,0.121346351260266,0.0594255750379627
382,0.152896071950335,0.125154297947785,0.0593631349527115
383,0.159412135743155,0.129362419791787,0.0594195701677514
384,0.166991188551872,0.134196039820946,0.0595300201588535
385,0.17567805199568,0.139670678711679,0.059550616380812
386,0.185350299133229,0.145677554298174,0.059421687960727
387,0.19583695874845,0.152054677043693,0.0594049020648741
388,0.20658336271263,0.158392664629602,0.0593817697903567
389,0.217446515501337,0.164576882007031,0.0593185948207785
390,0.228356691701359,0.170601569251154,0.0592833364388026
391,0.24025740821398,0.176773328977075,0.0592314057431018
392,0.253781352087982,0.183450964591564,0.0591753642629596
393,0.269321698879208,0.190916846577626,0.0591451665462501
394,0.286907083256104,0.198952724943966,0.0591275955934839
395,0.306775038020819,0.207566337465495,0.0591022831511738
396,0.328633600982199,0.216535044144846,0.0590540127262339
397,0.351887451157874,0.22540244614976,0.0589844388755779
398,0.375495282292141,0.233821406362173,0.0588654376303065
399,0.39854999150372,0.241455047361228,0.0587386098597649
400,0.419859896626023,0.247826056832021,0.0587160033821964
401,0.440957590332809,0.253494873274205,0.0586233937476619
402,0.462570094983917,0.258786574135962,0.05853551993988
403,0.484740864822372,0.263791070031562,0.0585722602813602
404,0.507196463995261,0.268267615300705,0.0585600717012051
405,0.530659484378544,0.272461038800549,0.0585105621945485
406,0.555812429967754,0.276576481516929,0.0584552889383255
407,0.581570217700807,0.280305758166807,0.0584202426256877
408,0.607403451456012,0.283643265992664,0.0583627973098311
409,0.632690034911057,0.286547782085994,0.0582884133125116
410,0.656836618644434,0.288955745990745,0.0582634065700869
411,0.67942476163575,0.290903054086374,0.0581933832824917
412,0.700265350155908,0.292449044561083,0.0581078282942762
413,0.719333817067302,0.293668023039303,0.0580753313680527
414,0.736741329026068,0.294616168418935,0.05804821704141
415,0.752616965631617,0.295340972707437,0.0580071356892558
416,0.767013134889582,0.29587199471498,0.0579519712544666
417,0.779815787481348,0.296201455082707,0.0579336430675518
418,0.791211571415256,0.29640186180979,0.0579066874196875
419,0.801352760439843,0.296517227732097,0.0578580259041638
420,0.810217183183757,0.296556208287558,0.0578187130239176
421,0.817906679633031,0.296512734451666,0.0577818258665069
422,0.824546116140289,0.296406662506192,0.0577420057695562
423,0.83028184291148,0.296266969319304,0.0576931611108054
424,0.835122555617833,0.296053138416985,0.0576305273952422
425,0.839236957234357,0.295821521850932,0.0575936532636773
426,0.842833141246277,0.295619223364966,0.0576034300284574
427,0.845987974434751,0.295392131031996,0.0575678747378681
428,0.848839215973989,0.295136337402125,0.0575343276435797
429,0.851429891683476,0.294846787050749,0.0575190302251674
430,0.853707009691429,0.294504861539995,0.0574660792800977
431,0.855806193452108,0.294132391523606,0.0574376813252628
432,0.85773585414253,0.293750572207891,0.0574203448311374
433,0.85941556372403,0.293382487061781,0.0573593402981873
434,0.860901556843779,0.292982285498349,0.0573043215566301
435,0.86222462954313,0.292592806520936,0.057264770484693
436,0.863411082284352,0.292260510476535,0.0572399624114664
437,0.864546478885064,0.291940796877041,0.0572311706346293
438,0.865634287988024,0.291566911430998,0.0571956598260431
439,0.86668565026827,0.291132017725753,0.0571279233294933
440,0.867730402304715,0.290760552788487,0.0571084845217104
441,0.868741914744097,0.290394066043035,0.0570721000231303
442,0.869719916033609,0.290015518954178,0.0570153724496876
443,0.870672800659414,0.289639036647686,0.0569822242077772
444,0.871551859405479,0.289273494826947,0.0569660302960122
445,0.872406802105199,0.288913223956389,0.0569484695679027
446,0.873304706018389,0.288544569404359,0.0569115903996948
447,0.874116117653599,0.288157635699145,0.0568880274798517
448,0.874914754268676,0.28778028954665,0.0568644129859268
449,0.875748801040294,0.287426689971374,0.0568329047434331
450,0.876519898217489,0.287058582005904,0.0568207333602198
451,0.877281558201568,0.286699616680459,0.0567950771917348
452,0.878050755948037,0.286357074378936,0.0567558628811805
453,0.87880929329258,0.286017371256836,0.056745979327367
454,0.879527953307728,0.285664741332548,0.0567257376335959
455,0.880215413783267,0.285302461891858,0.0566986549827748
456,0.880900979466312,0.284943373529731,0.0566852676832967
457,0.88159306592545,0.28458517613752,0.0566602938973688
458,0.882273946471024,0.284213636223906,0.0566430254635245
459,0.882924237909985,0.283824250744843,0.0566455936575982
460,0.883560631697894,0.283453610019938,0.0566091379410442
461,0.884177168133783,0.283097225284399,0.0565730174807693
462,0.884783257382909,0.282752119117376,0.0565607497579128
463,0.885422255951139,0.282428852344552,0.0565666929258745
464,0.886026226322337,0.282100588118236,0.0565480856420841
465,0.886578428009882,0.28175585048033,0.0565098713538112
466,0.887101331581552,0.281390719838782,0.0564926225647654
467,0.887693223461184,0.28100780704046,0.0564619598321978
468,0.88829139989433,0.280624827115642,0.0564387638715915
469,0.888797278909621,0.280256677810176,0.0564470649102103
470,0.889283199772704,0.27984218428355,0.0564126034984316
471,0.889772851278992,0.279436647966631,0.0563730072903138
472,0.890266377450776,0.279069400518858,0.0563575725048775
473,0.890712083134897,0.278668370484329,0.0563398277416454
