Dir,Panel,File,Sample ,Rep
USGS_CAL2,Grey,2,1,1
USGS_CAL2,White,5,2,1
USGS_CAL2,White,6,3,1
USGS_CAL2,White,7,4,1
USGS_CAL2,Grey,8,5,1
USGS_CAL2,Grey,9,6,1
USGS_CAL2,Black,11,7,1
USGS_CAL2,Black,12,8,1
USGS_CAL2,Black,13,9,1
