Dir,Plant,File
EMIT_IC2_060624_,SAVE,1
EMIT_IC2_060624_,SAVE,2
EMIT_IC2_060624_,SAVE,3
EMIT_IC2_060624_,SAVE,4
EMIT_IC2_060624_,SAVE,5
EMIT_IC2_060624_,SAVE,6
EMIT_IC2_060624_,KRLA,7
EMIT_IC2_060624_,KRLA,8
EMIT_IC2_060624_,KRLA,9
EMIT_IC2_060624_,ATCO,13
EMIT_IC2_060624_,ATCO,14
EMIT_IC2_060624_,ATCO,15
EMIT_IC2_060624_,SAVE,16
EMIT_IC2_060624_,SAVE,17
EMIT_IC2_060624_,SAVE,18
EMIT_IC2_060624_,ATCA,19
EMIT_IC2_060624_,ATCA,20
EMIT_IC2_060624_,ATCA,21
EMIT_IC2_060624_,ATCA,22
EMIT_IC2_060624_,ATCA,23
EMIT_IC2_060624_,ATCA,24
EMIT_IC2_060624_,KRLA,25
EMIT_IC2_060624_,KRLA,26
EMIT_IC2_060624_,KRLA,27
EMIT_IC2_060624_,ATCO,28
EMIT_IC2_060624_,ATCO,29
EMIT_IC2_060624_,ATCO,30
EMIT_IC2_060624_,GUSA,31
EMIT_IC2_060624_,GUSA,32
EMIT_IC2_060624_,GUSA,33
EMIT_IC2_060624_,ATCO,34
EMIT_IC2_060624_,ATCO,35
EMIT_IC2_060624_,ATCO,36
EMIT_IC2_060624_,GUSA,37
EMIT_IC2_060624_,GUSA,38
EMIT_IC2_060624_,GUSA,39
EMIT_IC2_060624_,KRLA,40
EMIT_IC2_060624_,KRLA,41
EMIT_IC2_060624_,KRLA,42
EMIT_IC2_060624_,ATCO,43
EMIT_IC2_060624_,ATCO,44
EMIT_IC2_060624_,ATCO,45
EMIT_IC2_060624_,SAVE,46
EMIT_IC2_060624_,SAVE,47
EMIT_IC2_060624_,SAVE,48
EMIT_IC2_060624_,KRLA,49
EMIT_IC2_060624_,KRLA,50
EMIT_IC2_060624_,KRLA,51
EMIT_IC2_060624_,GUSA,52
EMIT_IC2_060624_,GUSA,53
EMIT_IC2_060624_,GUSA,54
EMIT_IC2_060624_,SAVE,55
EMIT_IC2_060624_,SAVE,56
EMIT_IC2_060624_,SAVE,57
EMIT_IC2_060624_,GUSA,58
EMIT_IC2_060624_,GUSA,59
EMIT_IC2_060624_,GUSA,60
EMIT_IC2_060624_,GUSA,61
EMIT_IC2_060624_,GUSA,62
EMIT_IC2_060624_,GUSA,63
EMIT_IC2_060624_,SAVE,64
EMIT_IC2_060624_,SAVE,65
EMIT_IC2_060624_,SAVE,66
EMIT_IC2_060624_,ATCO,67
EMIT_IC2_060624_,ATCO,68
EMIT_IC2_060624_,ATCO,69
EMIT_IC2_060624_,KRLA,70
EMIT_IC2_060624_,KRLA,71
EMIT_IC2_060624_,KRLA,72
EMIT_IC2_060624_,ATCO,73
EMIT_IC2_060624_,ATCO,74
EMIT_IC2_060624_,ATCO,75
EMIT_IC2_060624_,GUSA,76
EMIT_IC2_060624_,GUSA,77
EMIT_IC2_060624_,GUSA,78
EMIT_IC2_060624_,ATCO,79
EMIT_IC2_060624_,ATCO,80
EMIT_IC2_060624_,ATCO,81
EMIT_IC2_060624_,ATCO,82
EMIT_IC2_060624_,ATCO,83
EMIT_IC2_060624_,ATCO,84
EMIT_IC2_060624_,KRLA,85
EMIT_IC2_060624_,KRLA,86
EMIT_IC2_060624_,KRLA,87
EMIT_IC2_060624_,GUSA,88
EMIT_IC2_060624_,GUSA,89
EMIT_IC2_060624_,GUSA,90
EMIT_IC2_060624_,KRLA,91
EMIT_IC2_060624_,KRLA,92
EMIT_IC2_060624_,KRLA,93
EMIT_IC2_060624_,GUSA,94
EMIT_IC2_060624_,GUSA,95
EMIT_IC2_060624_,GUSA,96
EMIT_IC2_060624_,SAVE,97
EMIT_IC2_060624_,SAVE,98
EMIT_IC2_060624_,SAVE,99
EMIT_IC2_060624_,SAVE,100
EMIT_IC2_060624_,SAVE,101
EMIT_IC2_060624_,SAVE,102
EMIT_IC2_060624_,ATCA,103
EMIT_IC2_060624_,ATCA,104
EMIT_IC2_060624_,ATCA,105
EMIT_IC2_060624_,ATCA,106
EMIT_IC2_060624_,ATCA,107
EMIT_IC2_060624_,ATCA,108
